county,year,sex,age_band,population
Kajiado,2021,f,55,12321.0
Kajiado,2021,f,60,8159.0
Kajiado,2021,f,65,4566.0
Kajiado,2021,f,70,3034.0
Kajiado,2021,f,75,1886.0
Kajiado,2021,f,80,1218.0
Kajiado,2021,f,85,724.0
Kajiado,2021,f,90,512.0
Kajiado,2021,m,00,21423.0
Kajiado,2021,m,01,83916.0
Kajiado,2021,m,05,93084.0
Kajiado,2021,m,10,77895.0
Kajiado,2021,m,15,63346.0
Kajiado,2021,m,20,72700.0
Kajiado,2021,m,25,74216.0
Kajiado,2021,m,30,66141.0
Kajiado,2021,m,35,53120.0
Kajiado,2021,m,40,37429.0
Kajiado,2021,m,45,29680.0
Kajiado,2021,m,50,22190.0
Kajiado,2021,m,55,13552.0
Kajiado,2021,m,60,8096.0
Kajiado,2021,m,65,4417.0
Kajiado,2021,m,70,2960.0
Kajiado,2021,m,75,1536.0
Kajiado,2021,m,80,751.0
Kajiado,2021,m,85,379.0
Kajiado,2021,m,90,225.0
Kakamega,2021,f,00,20604.0
Kakamega,2021,f,01,80786.0
Kakamega,2021,f,05,115662.0
Kakamega,2021,f,10,123847.0
Kakamega,2021,f,15,105987.0
Kakamega,2021,f,20,67080.0
Kakamega,2021,f,25,54184.0
Kakamega,2021,f,30,53272.0
Kakamega,2021,f,35,40225.0
Kakamega,2021,f,40,37081.0
Kakamega,2021,f,45,30215.0
Kakamega,2021,f,50,28977.0
Kakamega,2021,f,55,23804.0
Kakamega,2021,f,60,18385.0
Kakamega,2021,f,65,12113.0
Kakamega,2021,f,70,7465.0
Kakamega,2021,f,75,5888.0
Kakamega,2021,f,80,3552.0
Kakamega,2021,f,85,1462.0
Kakamega,2021,f,90,748.0
Kakamega,2021,m,00,20503.0
Kakamega,2021,m,01,80331.0
Kakamega,2021,m,05,115252.0
Kakamega,2021,m,10,120203.0
Kakamega,2021,m,15,102682.0
Kakamega,2021,m,20,63009.0
Kakamega,2021,m,25,44706.0
Kakamega,2021,m,30,44680.0
Kakamega,2021,m,35,39130.0
Kakamega,2021,m,40,33178.0
Kakamega,2021,m,45,26769.0
Kakamega,2021,m,50,22894.0
Kakamega,2021,m,55,19404.0
Kakamega,2021,m,60,14752.0
Kakamega,2021,m,65,9407.0
Kakamega,2021,m,70,6457.0
Kakamega,2021,m,75,3700.0
Kakamega,2021,m,80,1908.0
Kakamega,2021,m,85,928.0
Kakamega,2021,m,90,516.0
Kericho,2021,f,00,11917.0
Kericho,2021,f,01,46723.0
Kericho,2021,f,05,60818.0
Kericho,2021,f,10,64519.0
Kericho,2021,f,15,57298.0
Kericho,2021,f,20,45281.0
Kericho,2021,f,25,38451.0
Kericho,2021,f,30,35374.0
Kericho,2021,f,35,22761.0
Kericho,2021,f,40,20465.0
Kericho,2021,f,45,18446.0
Kericho,2021,f,50,12662.0
Kericho,2021,f,55,11392.0
Kericho,2021,f,60,7940.0
Kericho,2021,f,65,5035.0
Kericho,2021,f,70,3164.0
Kericho,2021,f,75,2149.0
Kericho,2021,f,80,1586.0
Kericho,2021,f,85,968.0
Kericho,2021,f,90,656.0
Kericho,2021,m,00,12239.0
Kericho,2021,m,01,47951.0
Kericho,2021,m,05,62183.0
Kericho,2021,m,10,63970.0
Kericho,2021,m,15,56761.0
Kericho,2021,m,20,44050.0
Kericho,2021,m,25,37163.0
Kericho,2021,m,30,35066.0
Kericho,2021,m,35,28079.0
Kericho,2021,m,40,22666.0
Kericho,2021,m,45,19133.0
Kericho,2021,m,50,12535.0
Kericho,2021,m,55,10515.0
Kericho,2021,m,60,7313.0
Kericho,2021,m,65,4899.0
Kericho,2021,m,70,3455.0
Kericho,2021,m,75,1651.0
Kericho,2021,m,80,836.0
Kericho,2021,m,85,465.0
Kericho,2021,m,90,301.0
Kiambu,2021,f,00,34586.0
Kiambu,2021,f,01,135605.0
Kiambu,2021,f,05,142195.0
Kiambu,2021,f,10,130852.0
Kiambu,2021,f,15,135622.0
Kiambu,2021,f,20,172158.0
Kiambu,2021,f,25,153635.0
Kiambu,2021,f,30,130635.0
Kiambu,2021,f,35,117004.0
Kiambu,2021,f,40,85083.0
Kiambu,2021,f,45,67260.0
Kiambu,2021,f,50,53523.0
Kiambu,2021,f,55,35202.0
Kiambu,2021,f,60,20601.0
Kiambu,2021,f,65,13901.0
Kiambu,2021,f,70,9413.0
Kiambu,2021,f,75,7246.0
Kiambu,2021,f,80,5038.0
Kiambu,2021,f,85,2535.0
Kiambu,2021,f,90,1436.0
Kiambu,2021,m,00,35325.0
Kiambu,2021,m,01,138402.0
Kiambu,2021,m,05,142726.0
Kiambu,2021,m,10,127496.0
Kiambu,2021,m,15,119348.0
Kiambu,2021,m,20,153955.0
Kiambu,2021,m,25,151624.0
Kiambu,2021,m,30,136934.0
Kiambu,2021,m,35,116256.0
Kiambu,2021,m,40,88021.0
Kiambu,2021,m,45,70453.0
Kiambu,2021,m,50,55071.0
Kiambu,2021,m,55,36939.0
Kiambu,2021,m,60,20393.0
Kiambu,2021,m,65,12446.0
Kiambu,2021,m,70,8556.0
Kiambu,2021,m,75,4288.0
Kiambu,2021,m,80,2065.0
Kiambu,2021,m,85,1017.0
Kiambu,2021,m,90,587.0
Kilifi,2021,f,00,23277.0
Kilifi,2021,f,01,91266.0
Kilifi,2021,f,05,112766.0
Kilifi,2021,f,10,111492.0
Kilifi,2021,f,15,98157.0
Kilifi,2021,f,20,77807.0
Kilifi,2021,f,25,65343.0
Kilifi,2021,f,30,56033.0
Kilifi,2021,f,35,39060.0
Kilifi,2021,f,40,38817.0
Kilifi,2021,f,45,26947.0
Kilifi,2021,f,50,23307.0
Kilifi,2021,f,55,17990.0
Kilifi,2021,f,60,18478.0
Kilifi,2021,f,65,10443.0
Kilifi,2021,f,70,6702.0
Kilifi,2021,f,75,4468.0
Kilifi,2021,f,80,2674.0
Kilifi,2021,f,85,1343.0
Kilifi,2021,f,90,770.0
Kilifi,2021,m,00,23668.0
Kilifi,2021,m,01,92730.0
Kilifi,2021,m,05,114377.0
Kilifi,2021,m,10,110274.0
Kilifi,2021,m,15,96727.0
Kilifi,2021,m,20,73469.0
Kilifi,2021,m,25,58312.0
Kilifi,2021,m,30,47220.0
Kilifi,2021,m,35,37769.0
Kilifi,2021,m,40,33068.0
Kilifi,2021,m,45,27431.0
Kilifi,2021,m,50,21903.0
Kilifi,2021,m,55,16202.0
Kilifi,2021,m,60,11817.0
Kilifi,2021,m,65,8395.0
Kilifi,2021,m,70,5102.0
Kilifi,2021,m,75,3093.0
Kilifi,2021,m,80,1456.0
Kilifi,2021,m,85,571.0
Kilifi,2021,m,90,282.0
Kirinyaga,2021,f,00,8825.0
Kirinyaga,2021,f,01,34603.0
Kirinyaga,2021,f,05,41253.0
Kirinyaga,2021,f,10,43552.0
Kirinyaga,2021,f,15,43334.0
Kirinyaga,2021,f,20,33642.0
Kirinyaga,2021,f,25,29965.0
Kirinyaga,2021,f,30,34823.0
Kirinyaga,2021,f,35,39255.0
Kirinyaga,2021,f,40,32546.0
Kirinyaga,2021,f,45,28189.0
Kirinyaga,2021,f,50,25703.0
